Date,Open,High,Low,Close
24-October-2022,59804.02,59994.25,59776.66,59831.66,
25-October-2022,60002.96,60081.24,59489.02,59543.96,
27-October-2022,59792.32,59959.94,59496.80,59756.84,
28-October-2022,59746.80,60133.17,59739.05,59959.85,
31-October-2022,60246.96,60786.70,60246.96,60746.59,
1-November-2022,61065.58,61289.73,60868.69,61121.35,
2-November-2022,61156.89,61209.65,60794.39,60906.09,
3-November-2022,60511.57,60994.37,60485.14,60836.41,
4-November-2022,60698.27,61004.49,60666.01,60950.36,
7-November-2022,61188.13,61401.54,60714.36,61185.15,
9-November-2022,61304.29,61447.23,60905.15,61033.55,
10-November-2022,60524.27,60848.73,60425.47,60613.70,
11-November-2022,61311.02,61840.97,61311.02,61795.04,
14-November-2022,61765.86,61916.24,61572.03,61624.15,
15-November-2022,61630.05,61955.96,61436.90,61872.99,
16-November-2022,61708.63,62052.57,61708.63,61980.72,
17-November-2022,61812.36,62050.80,61643.27,61750.60,
18-November-2022,61858.20,61929.88,61337.43,61663.48,
21-November-2022,61456.33,61456.33,61059.33,61144.84,
22-November-2022,61126.56,61466.63,61073.68,61418.96,
23-November-2022,61779.71,61780.90,61442.69,61510.58,
24-November-2022,61656.00,62412.33,61600.42,62272.68,
25-November-2022,62327.88,62447.73,62115.66,62293.64,
28-November-2022,62016.35,62701.40,61959.74,62504.80,
29-November-2022,62362.08,62887.40,62362.08,62681.84,
30-November-2022,62743.47,63303.01,62648.38,63099.65,
1-December-2022,63357.99,63583.07,63183.77,63284.19,
2-December-2022,62978.58,63148.59,62679.63,62868.50,
5-December-2022,62865.28,62939.63,62507.88,62834.60,
6-December-2022,62395.55,62677.84,62390.07,62626.36,
7-December-2022,62615.52,62759.97,62316.65,62410.68,
8-December-2022,62504.04,62633.56,62320.18,62570.68,
9-December-2022,62690.86,62735.42,61889.11,62181.67,
12-December-2022,61770.56,62239.42,61676.15,62130.57,
13-December-2022,62300.67,62567.92,62129.57,62533.30,
14-December-2022,62685.94,62835.11,62591.28,62677.91,
15-December-2022,62530.07,62624.81,61715.61,61799.03,
16-December-2022,61534.24,61893.22,61292.53,61337.81,
19-December-2022,61405.80,61844.92,61265.31,61806.19,
20-December-2022,61608.85,61780.37,61102.68,61702.29,
21-December-2022,61993.71,62006.46,60938.38,61067.24,
22-December-2022,61257.17,61464.38,60637.24,60826.22,
23-December-2022,60205.56,60546.88,59765.56,59845.29,
26-December-2022,59755.08,60833.78,59754.10,60566.42,
27-December-2022,60861.41,60986.68,60405.66,60927.43,
28-December-2022,60811.52,61075.33,60713.77,60910.28,
29-December-2022,60628.29,61210.65,60479.06,61133.88,
30-December-2022,61329.16,61392.68,60743.71,60840.74,
2-January-2023,60871.24,61222.79,60764.63,61167.79,
3-January-2023,61074.88,61343.96,61004.04,61294.20,
4-January-2023,61294.65,61327.21,60593.56,60657.45,
5-January-2023,60847.50,60877.06,60049.84,60353.27,
6-January-2023,60388.74,60537.63,59669.91,59900.37,
9-January-2023,60147.07,60889.41,60109.94,60747.31,
10-January-2023,60805.14,60809.65,59938.38,60115.48,
11-January-2023,60134.56,60364.77,59805.78,60105.50,
12-January-2023,60083.03,60290.35,59632.32,59958.03,
13-January-2023,60044.96,60418.26,59628.43,60261.18,
16-January-2023,60550.50,60586.77,59963.83,60092.97,
17-January-2023,60142.08,60704.48,60072.34,60655.72,
18-January-2023,60716.03,61110.25,60569.19,61045.74,
19-January-2023,60920.02,61032.47,60716.55,60858.43,
20-January-2023,60901.16,61001.18,60585.25,60621.77,
23-January-2023,60876.01,61113.27,60761.88,60941.67,
24-January-2023,61122.20,61266.06,60849.12,60978.75,
25-January-2023,60834.73,60899.21,60081.36,60205.06,
27-January-2023,60166.90,60166.90,58974.70,59330.90,
30-January-2023,59101.69,59644.24,58699.20,59500.41,
31-January-2023,59770.83,59787.63,59104.59,59549.90,
1-February-2023,60001.17,60773.44,58816.84,59708.08,
2-February-2023,59459.87,60007.67,59215.62,59932.24,
3-February-2023,60350.01,60905.34,60013.06,60841.88,
6-February-2023,60847.21,60847.21,60345.61,60506.90,
7-February-2023,60511.32,60655.14,60063.49,60286.04,
8-February-2023,60332.99,60792.10,60324.92,60663.79,
9-February-2023,60715.89,60863.63,60472.81,60806.22,
10-February-2023,60706.81,60774.14,60501.74,60682.70,
13-February-2023,60652.82,60740.95,60245.05,60431.84,
14-February-2023,60550.25,61102.74,60550.25,61032.26,
15-February-2023,60990.05,61352.55,60750.32,61275.09,
16-February-2023,61566.22,61682.25,61196.72,61319.51,
17-February-2023,60993.54,61302.72,60810.67,61002.57,
20-February-2023,61112.84,61290.19,60607.02,60691.54,
21-February-2023,60770.43,60976.59,60583.72,60672.72,
22-February-2023,60391.86,60462.90,59681.55,59744.98,
23-February-2023,59777.64,59960.04,59406.31,59605.80,
24-February-2023,59859.48,59908.77,59325.34,59463.93,
27-February-2023,59331.31,59441.13,58937.64,59288.35,
28-February-2023,59346.61,59483.72,58795.97,58962.12,
1-March-2023,59136.48,59475.45,59109.54,59411.08,
2-March-2023,59287.18,59423.79,58866.26,58909.35,
3-March-2023,59241.20,59967.04,59231.58,59808.97,
6-March-2023,60007.04,60498.48,60005.65,60224.46,
8-March-2023,59916.10,60402.85,59844.82,60348.09,
9-March-2023,60467.09,60467.09,59750.53,59806.28,
10-March-2023,59259.83,59262.47,58884.98,59135.13,
13-March-2023,59033.77,59510.92,58094.55,58237.85,
14-March-2023,58168.75,58490.98,57721.16,57900.19,
15-March-2023,58268.54,58473.63,57455.67,57555.90,
16-March-2023,57510.80,57887.46,57158.69,57634.84,
17-March-2023,58038.17,58178.94,57503.90,57989.90,
20-March-2023,57773.55,57829.23,57084.91,57628.95,
21-March-2023,57963.27,58133.33,57730.09,58074.68,
22-March-2023,58245.26,58418.78,58063.50,58214.59,
23-March-2023,58061.41,58396.17,57838.85,57925.28,
24-March-2023,57890.66,58066.40,57422.98,57527.10,
27-March-2023,57566.90,58019.55,57415.02,57653.86,
28-March-2023,57751.50,57949.45,57494.91,57613.72,
29-March-2023,57572.08,58124.20,57524.32,57960.09,
31-March-2023,58273.86,59068.47,58273.86,58991.52,
3-April-2023,59131.16,59204.82,58793.08,59106.44,
5-April-2023,59094.71,59747.12,59094.40,59689.31,
6-April-2023,59627.01,59950.06,59520.12,59832.97,
10-April-2023,59858.98,60109.11,59766.23,59846.51,
11-April-2023,60028.60,60267.68,59919.88,60157.72,
12-April-2023,60180.20,60437.64,60094.69,60392.77,
13-April-2023,60364.41,60486.91,60081.43,60431.00,
17-April-2023,60385.90,60407.86,59442.47,59910.75,
18-April-2023,59991.26,60113.47,59579.30,59727.01,
19-April-2023,59745.89,59745.89,59452.72,59567.80,
20-April-2023,59586.61,59836.79,59489.98,59632.35,
21-April-2023,59538.79,59781.36,59412.81,59655.06,
24-April-2023,59873.71,60101.64,59620.11,60056.10,
25-April-2023,60202.77,60268.67,59967.02,60130.71,
26-April-2023,60087.98,60362.79,59954.91,60300.58,
27-April-2023,60315.56,60698.31,60271.49,60649.38,
28-April-2023,60721.61,61209.46,60507.83,61112.44,
2-May-2023,61301.61,61486.24,61255.00,61354.71,
3-May-2023,61274.96,61274.96,61024.44,61193.30,
4-May-2023,61258.13,61797.91,61119.56,61749.25,
5-May-2023,61163.10,61585.50,61002.17,61054.29,
8-May-2023,61166.09,61854.19,61166.09,61764.25,
9-May-2023,61879.68,62027.51,61654.94,61761.33,
10-May-2023,61843.36,61974.35,61572.93,61940.20,
11-May-2023,62158.10,62168.22,61823.07,61904.52,
12-May-2023,61857.69,62110.93,61578.15,62027.90,
15-May-2023,62157.10,62562.67,61950.30,62345.71,
16-May-2023,62474.11,62475.95,61847.41,61932.47,
17-May-2023,61932.32,61979.94,61340.10,61560.64,
18-May-2023,61937.86,61955.90,61349.34,61431.74,
19-May-2023,61556.25,61784.61,61251.70,61729.68,
22-May-2023,61579.78,62044.46,61579.78,61963.68,
23-May-2023,62098.16,62245.19,61914.40,61981.79,
24-May-2023,61834.28,62154.14,61708.10,61773.78,
25-May-2023,61706.13,61934.01,61484.66,61872.62,
26-May-2023,61985.36,62529.83,61911.61,62501.69,
29-May-2023,62801.54,63026.00,62801.54,62846.38,
30-May-2023,62839.85,63036.12,62737.40,62969.13,
31-May-2023,62839.97,62876.77,62401.02,62622.24,
1-June-2023,62736.47,62762.41,62359.14,62428.54,
